unnamed:_0,id,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
2633,MP95255,California,3919.366722,Yes,Extended,High School or Below,2011-01-05,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,A,1
2637,LB59405,California,5979.724161,Yes,Extended,High School or Below,2011-02-07,Employed,F,57693,Suburban,Divorced,76,16.0,56,0.0,3,Personal Auto,Personal L2,Offer2,Agent,547.2,Four-Door Car,Medsize,A,2
2644,YM88338,California,4879.442929,No,Basic,Bachelor,2011-02-25,Employed,F,58580,Suburban,Married,61,5.0,53,0.0,3,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Medsize,A,2
2645,QT43282,Oregon,9409.143498,No,Basic,Master,2011-02-25,Employed,M,76847,Rural,Single,118,16.0,52,0.0,3,Corporate Auto,Corporate L3,Offer1,Call Center,31.58501,SUV,Medsize,A,2
2647,UQ71296,Washington,5625.307768,No,Basic,College,2011-02-28,Employed,M,97095,Urban,Married,70,4.0,8,0.0,5,Personal Auto,Personal L1,Offer4,Branch,208.035411,Four-Door Car,Large,A,2
2649,JX52708,California,4556.068318,No,Basic,Bachelor,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,15.11182,3,0.386309,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A,2
2651,BA17836,California,7868.165983,No,Basic,High School or Below,2011-01-17,Employed,M,57340,Rural,Single,67,7.0,19,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,159.391681,Four-Door Car,Medsize,A,1
2652,AA69265,Nevada,3964.730745,No,Premium,Bachelor,2011-01-17,Employed,F,60817,Suburban,Single,103,3.0,79,1.0,1,Personal Auto,Personal L2,Offer2,Web,494.4,Four-Door Car,Medsize,A,1
2656,SL71998,Oregon,2797.759849,No,Basic,College,2011-01-18,Employed,M,63223,Suburban,Married,71,3.0,72,0.0,1,Personal Auto,Personal L1,Offer3,Web,397.622116,Two-Door Car,Small,A,1
2657,TV97612,Oregon,8105.996039,No,Basic,Bachelor,2011-02-24,Medical Leave,M,20815,Suburban,Married,110,7.0,35,0.0,9,Personal Auto,Personal L3,Offer1,Agent,528.0,SUV,Medsize,A,2
2658,WV79842,California,9283.737773,No,Extended,High School or Below,2011-01-16,Employed,M,24314,Suburban,Married,235,20.0,60,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,1128.0,Luxury SUV,Medsize,A,1
2659,AQ11656,Arizona,2141.750757,No,Basic,Bachelor,2011-02-08,Unemployed,M,0,Suburban,Married,61,5.0,90,0.0,1,Personal Auto,Personal L2,Offer4,Call Center,437.040616,Four-Door Car,Medsize,A,2
2662,NK27819,Arizona,5926.729379,Yes,Extended,College,2011-01-25,Retired,M,23091,Suburban,Married,96,28.0,90,5.0,5,Personal Auto,Personal L3,Offer1,Agent,460.8,Four-Door Car,Medsize,A,1
2663,UW70224,Oregon,2637.942355,No,Basic,College,2011-01-26,Employed,F,63422,Suburban,Married,66,8.0,68,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,355.922452,Four-Door Car,Small,A,1
2670,LG19551,Arizona,5764.784159,No,Basic,Bachelor,2011-01-25,Employed,M,22134,Suburban,Married,72,13.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Call Center,445.879224,Four-Door Car,Medsize,A,1
2671,CC85895,Nevada,8509.019846,No,Basic,Bachelor,2011-01-12,Employed,F,56481,Urban,Married,106,7.0,17,0.0,3,Personal Auto,Personal L1,Offer1,Branch,273.250112,SUV,Medsize,A,1
2672,RA65645,California,8564.768226,Yes,Basic,High School or Below,2011-02-17,Employed,M,95697,Rural,Married,107,29.0,29,0.0,9,Personal Auto,Personal L2,Offer2,Agent,178.006524,Sports Car,Medsize,A,2
2673,EZ30498,Oregon,8635.4035,No,Basic,Bachelor,2011-02-15,Medical Leave,M,13129,Suburban,Married,117,15.0,93,0.0,6,Personal Auto,Personal L3,Offer1,Web,700.901632,SUV,Medsize,A,2
2675,KF46546,Arizona,5789.352696,No,Basic,Bachelor,2011-02-12,Employed,F,75845,Rural,Married,72,2.0,71,0.0,6,Personal Auto,Personal L2,Offer1,Agent,73.848672,Four-Door Car,Medsize,A,2
2684,ZC17276,California,7755.209719,No,Premium,Master,2011-01-15,Unemployed,M,0,Suburban,Single,110,7.0,90,0.0,5,Personal Auto,Personal L3,Offer1,Branch,528.0,Four-Door Car,Medsize,A,1
2685,JH91579,Oregon,6846.150323,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,0,Suburban,Divorced,95,13.0,20,0.0,5,Personal Auto,Personal L2,Offer1,Call Center,456.0,Two-Door Car,Large,A,1
2692,XJ39660,Oregon,5297.918924,No,Basic,Bachelor,2011-02-09,Employed,F,66203,Rural,Married,66,15.0,38,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,130.697268,Four-Door Car,Medsize,A,2
2694,JQ74890,Nevada,2921.681366,No,Extended,Bachelor,2011-01-19,Unemployed,M,0,Suburban,Single,80,10.0,81,0.0,1,Corporate Auto,Corporate L2,Offer1,Branch,739.310493,Four-Door Car,Medsize,A,1
2695,HR26088,Arizona,5926.957452,No,Extended,College,2011-01-17,Unemployed,F,0,Suburban,Married,84,19.0,26,2.0,4,Personal Auto,Personal L2,Offer1,Branch,403.2,Four-Door Car,Medsize,A,1
2697,TH86528,Washington,5775.517825,No,Extended,High School or Below,2011-02-25,Unemployed,F,0,Suburban,Single,76,20.0,17,0.0,6,Personal Auto,Personal L1,Offer3,Call Center,784.611446,Two-Door Car,Small,A,2
2699,NQ86532,California,2576.455597,No,Basic,High School or Below,2011-01-22,Medical Leave,M,26854,Suburban,Married,66,31.0,70,0.0,1,Personal Auto,Personal L3,Offer1,Agent,475.2,Four-Door Car,Small,A,1
2703,WC22220,Arizona,2616.613903,Yes,Basic,College,2011-02-25,Employed,M,72302,Suburban,Divorced,66,6.0,27,0.0,1,Corporate Auto,Corporate L2,Offer1,Agent,316.8,Two-Door Car,Medsize,A,2
2706,OV29928,Washington,5225.253777,No,Basic,College,2011-02-24,Employed,F,67423,Urban,Married,65,24.0,0,0.0,9,Corporate Auto,Corporate L3,Offer3,Agent,293.308765,Four-Door Car,Medsize,A,2
2708,IK12620,Arizona,4213.918619,No,Premium,High School or Below,2011-01-19,Disabled,F,12160,Urban,Married,109,5.0,34,0.0,1,Personal Auto,Personal L1,Offer2,Agent,489.411833,Four-Door Car,Medsize,A,1
2709,FA89548,Arizona,2436.397813,No,Basic,Bachelor,2011-02-25,Unemployed,M,0,Suburban,Married,67,16.0,92,0.0,1,Personal Auto,Personal L1,Offer3,Branch,399.0564,Four-Door Car,Small,A,2
2710,SM36624,Arizona,7054.776317,No,Extended,High School or Below,2011-01-23,Unemployed,M,0,Suburban,Single,207,32.0,96,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,1490.4,Luxury SUV,Medsize,A,1
2711,YP75411,Arizona,21123.1166,No,Basic,College,2011-02-10,Unemployed,M,0,Suburban,Single,69,15.0,9,0.0,2,Personal Auto,Personal L3,Offer3,Agent,496.8,Two-Door Car,Medsize,A,2
2713,LS90887,California,5674.381244,No,Basic,Bachelor,2011-02-18,Employed,F,26225,Urban,Married,72,18.0,25,1.0,7,Special Auto,Special L2,Offer2,Web,320.777404,Four-Door Car,Medsize,A,2
2719,YW95322,California,3508.905811,No,Extended,Bachelor,2011-01-23,Employed,M,23629,Suburban,Married,88,15.0,81,0.0,1,Personal Auto,Personal L1,Offer3,Agent,633.6,Four-Door Car,Small,A,1
2722,TY27229,Arizona,9114.276632,No,Premium,Bachelor,2011-02-24,Employed,M,85942,Rural,Married,116,16.0,36,2.0,5,Personal Auto,Personal L2,Offer3,Agent,79.340118,Four-Door Car,Medsize,A,2
2723,PJ13204,California,3301.518961,No,Extended,High School or Below,2011-01-25,Unemployed,F,0,Suburban,Married,89,10.0,83,0.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,427.2,Two-Door Car,Large,A,1
2728,EE24901,Arizona,2989.912494,No,Extended,Bachelor,2011-01-10,Unemployed,M,0,Suburban,Married,83,23.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Web,398.4,Two-Door Car,Large,A,1
2730,JO13576,California,2633.011837,No,Basic,High School or Below,2011-01-01,Retired,F,21861,Suburban,Married,69,3.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Agent,348.278032,Four-Door Car,Medsize,A,1
2732,RO26233,California,2464.707849,No,Basic,College,2011-02-25,Employed,F,31056,Suburban,Divorced,63,5.0,46,0.0,1,Personal Auto,Personal L2,Offer3,Agent,302.4,Four-Door Car,Medsize,A,2
2733,MN20737,Nevada,2553.672212,No,Basic,College,2011-02-26,Employed,F,73935,Rural,Married,64,13.0,29,1.0,1,Corporate Auto,Corporate L3,Offer4,Call Center,72.071195,Four-Door Car,Medsize,A,2
2739,TC29250,California,7350.182328,No,Basic,Bachelor,2011-02-19,Unemployed,M,0,Suburban,Single,108,7.0,54,0.0,4,Personal Auto,Personal L3,Offer2,Branch,777.6,Sports Car,Medsize,A,2
2743,BE55425,Oregon,6403.577368,No,Extended,College,2011-01-31,Employed,M,28095,Suburban,Married,82,18.0,2,0.0,8,Personal Auto,Personal L3,Offer3,Web,393.6,Four-Door Car,Medsize,A,1
2753,ZL73902,Nevada,3265.156348,Yes,Extended,Bachelor,2011-01-26,Employed,F,25820,Suburban,Divorced,82,10.0,69,0.0,1,Personal Auto,Personal L3,Offer1,Agent,393.6,Four-Door Car,Medsize,A,1
2757,TQ32702,Nevada,6990.917824,No,Extended,College,2011-01-27,Employed,F,22568,Suburban,Married,88,31.0,63,0.0,6,Corporate Auto,Corporate L2,Offer3,Branch,422.4,Four-Door Car,Medsize,A,1
2758,QU55718,California,10978.7834,No,Extended,Bachelor,2011-02-12,Employed,F,92914,Suburban,Married,136,24.0,55,0.0,8,Personal Auto,Personal L1,Offer1,Agent,979.2,Sports Car,Large,A,2
2761,BV55014,Oregon,7268.736958,No,Basic,Bachelor,2011-02-08,Employed,M,24445,Suburban,Single,63,18.0,15,0.0,2,Personal Auto,Personal L3,Offer1,Agent,302.4,Two-Door Car,Medsize,A,2
2763,LY73893,California,5563.771927,No,Basic,College,2011-01-21,Employed,M,35398,Suburban,Divorced,71,26.0,41,0.0,7,Personal Auto,Personal L3,Offer3,Agent,340.8,Four-Door Car,Medsize,A,1
2769,YA52900,Oregon,8304.688878,No,Extended,College,2011-02-19,Unemployed,M,0,Suburban,Married,122,22.0,14,2.0,9,Corporate Auto,Corporate L3,Offer2,Agent,681.328474,SUV,Small,A,2
2771,HA72996,Nevada,4349.30875,Yes,Basic,College,2011-02-10,Employed,F,75648,Rural,Married,108,15.11182,10,0.386309,1,Corporate Auto,Corporate L3,Offer2,Branch,112.660916,SUV,Large,A,2
2772,JO75190,Nevada,8673.587,No,Basic,Bachelor,2011-01-31,Employed,M,43963,Suburban,Married,110,25.0,59,0.0,7,Corporate Auto,Corporate L3,Offer3,Agent,528.0,SUV,Medsize,A,1
2774,BH35016,Nevada,16706.11699,No,Basic,Bachelor,2011-02-09,Employed,F,63933,Suburban,Divorced,70,35.0,98,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,424.883448,Two-Door Car,Medsize,A,2
2775,NM44679,California,9783.628981,No,Extended,College,2011-02-25,Unemployed,M,0,Suburban,Married,136,33.0,21,0.0,5,Personal Auto,Personal L2,Offer1,Call Center,979.2,SUV,Medsize,A,2
2777,XS36281,Washington,5570.21583,No,Extended,College,2011-01-29,Employed,F,85718,Urban,Single,139,4.0,98,1.0,1,Personal Auto,Personal L3,Offer1,Branch,540.173933,Sports Car,Medsize,A,1
2780,KU56006,Arizona,5536.386959,No,Basic,College,2011-01-07,Employed,F,52220,Suburban,Married,70,17.0,42,1.0,5,Personal Auto,Personal L2,Offer1,Call Center,336.0,Four-Door Car,Small,A,1
2783,BA66627,Nevada,36229.40842,No,Basic,Bachelor,2011-01-21,Employed,F,22220,Rural,Single,105,29.0,46,0.0,2,Personal Auto,Personal L3,Offer1,Branch,22.45383,Sports Car,Medsize,A,1
2788,WV39838,Arizona,2436.839358,No,Basic,College,2011-02-08,Unemployed,F,0,Rural,Married,65,34.0,84,0.0,1,Personal Auto,Personal L3,Offer2,Branch,149.241472,Two-Door Car,Large,A,2
2793,QY37300,Nevada,13502.63148,No,Basic,Master,2011-02-21,Employed,M,57222,Urban,Married,112,3.0,88,1.0,2,Personal Auto,Personal L2,Offer2,Branch,297.187468,Sports Car,Medsize,A,2
2797,VA77345,Oregon,3531.039178,No,Extended,College,2011-02-25,Employed,F,26884,Urban,Married,89,11.0,84,0.0,1,Special Auto,Special L2,Offer4,Call Center,238.132215,Four-Door Car,Medsize,A,2
2800,TA31436,California,8132.702789,No,Basic,Bachelor,2011-01-09,Employed,F,36737,Suburban,Married,102,13.0,20,0.0,8,Corporate Auto,Corporate L3,Offer1,Agent,512.861063,Sports Car,Large,A,1
2802,XR74789,Washington,7199.645715,No,Extended,College,2011-01-14,Employed,F,63328,Suburban,Married,89,19.0,19,0.0,9,Personal Auto,Personal L2,Offer2,Web,427.2,Two-Door Car,Medsize,A,1
2803,RB28630,Oregon,5894.907375,No,Basic,High School or Below,2011-02-20,Employed,F,39381,Suburban,Married,74,6.0,55,1.0,7,Personal Auto,Personal L3,Offer2,Branch,355.2,Four-Door Car,Small,A,2
2804,JX10102,Arizona,3223.217276,No,Extended,High School or Below,2011-02-22,Unemployed,F,0,Suburban,Single,91,35.0,12,1.0,1,Personal Auto,Personal L2,Offer3,Agent,655.2,Four-Door Car,Small,A,2
2806,QS79556,Arizona,9414.119587,No,Extended,College,2011-01-28,Disabled,F,20455,Suburban,Married,84,14.0,40,2.0,2,Corporate Auto,Corporate L3,Offer3,Branch,564.922034,Two-Door Car,Medsize,A,1
2807,RZ89359,California,2450.625315,No,Basic,College,2011-01-11,Employed,F,61883,Rural,Divorced,62,11.0,62,0.0,1,Personal Auto,Personal L1,Offer4,Web,18.077998,Four-Door Car,Medsize,A,1
2808,SX85653,Arizona,5522.524223,No,Extended,Doctor,2011-01-25,Employed,F,85609,Suburban,Married,136,22.0,17,0.0,1,Personal Auto,Personal L3,Offer2,Agent,652.8,SUV,Medsize,A,1
2812,JD19036,Arizona,16261.16768,No,Extended,Master,2011-02-18,Employed,F,41671,Urban,Single,136,15.0,30,0.0,2,Personal Auto,Personal L1,Offer1,Agent,570.388228,SUV,Medsize,A,2
2817,GW42895,Oregon,17625.53763,No,Basic,Bachelor,2011-01-25,Employed,F,77803,Urban,Married,63,30.0,18,0.0,2,Personal Auto,Personal L3,Offer2,Agent,217.554695,Four-Door Car,Medsize,A,1
2820,OO96627,California,3531.348165,No,Extended,High School or Below,2011-02-11,Unemployed,M,0,Suburban,Single,98,23.0,46,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,958.502743,Two-Door Car,Small,A,2
2821,QZ42725,Washington,2310.882998,No,Basic,Bachelor,2011-01-01,Unemployed,F,0,Suburban,Single,64,12.0,24,0.0,1,Personal Auto,Personal L3,Offer2,Agent,460.8,Four-Door Car,Medsize,A,1
2825,ZG19911,California,2552.226197,No,Basic,Bachelor,2011-02-02,Employed,F,35149,Rural,Married,64,26.0,33,0.0,1,Personal Auto,Personal L2,Offer4,Web,120.477298,Two-Door Car,Medsize,A,2
2828,WM19967,California,19884.91592,No,Basic,College,2011-01-12,Employed,F,63755,Urban,Married,62,28.0,40,0.0,2,Personal Auto,Personal L2,Offer2,Web,291.860708,Two-Door Car,Medsize,A,1
2829,LQ68252,Oregon,3738.436222,No,Basic,High School or Below,2011-02-11,Retired,M,27208,Suburban,Single,102,10.0,65,0.0,1,Personal Auto,Personal L2,Offer1,Web,489.6,SUV,Medsize,A,2
2830,FB77856,Nevada,3873.647046,Yes,Basic,College,2011-01-20,Retired,M,28142,Suburban,Married,105,18.0,50,0.0,1,Personal Auto,Personal L3,Offer2,Agent,701.708239,Sports Car,Medsize,A,1
2836,GE50763,Washington,3491.741616,No,Premium,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,104,30.0,88,0.0,1,Corporate Auto,Corporate L1,Offer1,Agent,748.8,Four-Door Car,Medsize,A,1
2837,EK95340,Washington,8355.512557,No,Premium,Master,2011-02-11,Employed,M,49564,Suburban,Divorced,105,8.0,29,0.0,5,Corporate Auto,Corporate L1,Offer3,Web,661.608936,Four-Door Car,Small,A,2
2841,SB60942,Arizona,7258.634662,No,Basic,College,2011-01-18,Employed,M,88082,Urban,Married,61,10.0,45,1.0,2,Personal Auto,Personal L1,Offer4,Branch,218.779614,Two-Door Car,Medsize,A,1
2843,PY98041,Oregon,5406.876611,No,Basic,Bachelor,2011-01-20,Employed,M,27166,Suburban,Single,71,29.0,51,0.0,5,Personal Auto,Personal L3,Offer2,Web,340.8,Four-Door Car,Medsize,A,1
2845,FS42516,Oregon,5802.065978,No,Basic,College,2011-01-29,Employed,M,97541,Suburban,Married,72,22.0,1,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,Large,A,1
2847,DW71192,Oregon,5971.313496,No,Extended,High School or Below,2011-01-21,Employed,M,52018,Suburban,Divorced,78,17.0,37,3.0,7,Personal Auto,Personal L3,Offer1,Agent,374.4,Four-Door Car,Medsize,A,1
2850,IY31142,Oregon,2444.329535,No,Basic,College,2011-02-09,Employed,M,83800,Urban,Single,62,11.0,44,0.0,1,Personal Auto,Personal L3,Offer2,Branch,196.155575,Four-Door Car,Medsize,A,2
2852,FL69981,California,4038.864803,No,Basic,Bachelor,2011-02-23,Unemployed,F,0,Suburban,Married,110,15.11182,59,0.386309,1,Personal Auto,Personal L3,Offer2,Call Center,528.0,SUV,Medsize,A,2
2861,SO54368,Oregon,4686.469674,Yes,Basic,College,2011-02-12,Employed,M,58089,Suburban,Married,118,31.0,83,0.0,1,Personal Auto,Personal L2,Offer1,Agent,566.4,SUV,Medsize,A,2
2862,OR40060,Arizona,3323.092454,No,Extended,Bachelor,2011-01-18,Employed,M,70410,Rural,Married,83,25.0,13,0.0,1,Personal Auto,Personal L3,Offer2,Web,131.828507,Four-Door Car,Medsize,A,1
2865,FH77504,California,11009.13049,Yes,Premium,Bachelor,2011-01-24,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Personal Auto,Personal L3,Offer2,Agent,1358.4,Luxury Car,Medsize,A,1
2866,MM83308,Arizona,2379.825871,No,Basic,High School or Below,2011-02-21,Employed,M,69202,Suburban,Single,61,33.0,12,0.0,1,Personal Auto,Personal L2,Offer2,Web,292.8,Two-Door Car,Small,A,2
2867,FP86246,California,13211.01092,No,Premium,Bachelor,2011-01-31,Employed,M,74656,Urban,Divorced,111,0.0,6,0.0,2,Personal Auto,Personal L2,Offer3,Call Center,504.365927,Four-Door Car,Medsize,A,1
2869,VU87728,Nevada,4846.322223,No,Basic,High School or Below,2011-01-25,Unemployed,M,0,Suburban,Single,72,31.0,75,0.0,9,Personal Auto,Personal L2,Offer4,Agent,518.4,Four-Door Car,Medsize,A,1
2872,IO14680,Oregon,8838.085637,Yes,Basic,Bachelor,2011-01-21,Employed,M,82664,Rural,Married,114,24.0,10,3.0,9,Corporate Auto,Corporate L3,Offer2,Agent,133.425609,SUV,Medsize,A,1
2882,IZ71030,California,2570.190941,No,Basic,College,2011-02-08,Employed,F,69446,Rural,Married,64,23.0,32,1.0,1,Personal Auto,Personal L2,Offer3,Branch,26.731452,Four-Door Car,Medsize,A,2
2886,AT24793,Oregon,6863.124573,No,Premium,College,2011-01-16,Employed,M,25352,Suburban,Married,173,10.0,65,0.0,1,Special Auto,Special L3,Offer3,Call Center,830.4,Sports Car,Medsize,A,1
2892,XN25550,Oregon,5345.201117,No,Extended,College,2011-01-02,Employed,M,55571,Suburban,Married,135,4.0,46,0.0,1,Personal Auto,Personal L2,Offer4,Agent,904.813121,SUV,Medsize,A,1
2893,YV40022,California,9807.829589,No,Extended,College,2011-01-18,Unemployed,F,0,Suburban,Married,135,15.11182,48,0.386309,4,Personal Auto,Personal L3,Offer1,Branch,970.456654,Sports Car,Medsize,A,1
2894,HF95739,California,8555.887254,No,Extended,High School or Below,2011-01-29,Unemployed,M,0,Suburban,Single,81,6.0,49,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,583.2,Four-Door Car,Medsize,A,1
2897,KX75698,Oregon,5553.521059,No,Extended,High School or Below,2011-01-08,Employed,M,96587,Suburban,Married,138,31.0,99,0.0,1,Personal Auto,Personal L3,Offer2,Agent,749.244062,SUV,Medsize,A,1
2898,BY23642,Arizona,4595.043966,No,Basic,Bachelor,2011-01-17,Unemployed,F,0,Suburban,Single,64,16.0,62,0.0,6,Personal Auto,Personal L3,Offer1,Branch,460.8,Two-Door Car,Small,A,1
2901,JN78502,Washington,9384.654502,No,Basic,High School or Below,2011-01-28,Employed,F,25370,Suburban,Married,116,21.0,64,0.0,3,Special Auto,Special L3,Offer4,Web,556.8,SUV,Small,A,1
2902,MM90239,Oregon,6369.262355,Yes,Extended,High School or Below,2011-01-20,Employed,M,34498,Suburban,Single,83,30.0,72,0.0,7,Personal Auto,Personal L1,Offer2,Branch,398.4,Two-Door Car,Small,A,1
2903,EP48362,Arizona,23813.52051,No,Basic,Bachelor,2011-01-27,Employed,M,88680,Urban,Married,66,5.0,66,0.0,2,Personal Auto,Personal L1,Offer2,Web,201.762191,Four-Door Car,Medsize,A,1
2904,ES82658,Oregon,6418.24871,No,Extended,Master,2011-01-03,Employed,M,46648,Rural,Divorced,81,8.0,26,0.0,7,Personal Auto,Personal L3,Offer4,Web,123.576765,Four-Door Car,Medsize,A,1
2906,QR79788,Nevada,5811.996703,No,Basic,College,2011-02-08,Employed,M,58643,Urban,Divorced,74,33.0,58,0.0,3,Personal Auto,Personal L1,Offer3,Agent,329.46648,Four-Door Car,Medsize,A,2
2909,QT90140,Arizona,5332.462694,Yes,Basic,Doctor,2011-02-22,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Personal Auto,Personal L2,Offer2,Branch,309.577946,Four-Door Car,Medsize,A,2
2911,FQ24929,Oregon,5479.555081,Yes,Basic,Master,2011-01-13,Employed,M,56005,Suburban,Married,68,31.0,30,1.0,3,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Small,A,1
2918,UU77151,Washington,5182.393447,No,Extended,College,2011-01-25,Employed,F,44820,Urban,Married,133,12.0,62,3.0,1,Personal Auto,Personal L3,Offer1,Branch,336.13217,Sports Car,Medsize,A,1
2924,PV39600,California,8417.004401,No,Premium,Bachelor,2011-01-06,Employed,M,24285,Suburban,Divorced,111,6.0,10,0.0,7,Personal Auto,Personal L3,Offer4,Agent,1257.527908,Two-Door Car,Small,A,1
2926,CJ81391,Oregon,7582.113842,Yes,Basic,College,2011-02-03,Employed,M,64801,Urban,Married,64,15.11182,19,0.386309,2,Personal Auto,Personal L3,Offer2,Web,268.471802,Four-Door Car,Medsize,A,2
2928,UK79109,California,9095.049868,Yes,Basic,College,2011-01-11,Employed,M,37937,Suburban,Married,116,15.11182,42,0.386309,5,Corporate Auto,Corporate L1,Offer2,Call Center,556.8,SUV,Medsize,A,1
2929,LK70293,Nevada,17793.60797,No,Premium,High School or Below,2011-02-18,Unemployed,F,0,Suburban,Married,118,26.0,43,0.0,2,Personal Auto,Personal L3,Offer1,Web,1118.990694,Four-Door Car,Large,A,2
2931,LK63879,California,4745.680421,No,Basic,High School or Below,2011-01-27,Unemployed,F,0,Suburban,Single,63,23.0,88,0.0,3,Personal Auto,Personal L2,Offer1,Branch,523.337427,Four-Door Car,Medsize,A,1
2932,DS34823,Arizona,4250.282624,Yes,Basic,High School or Below,2011-01-18,Unemployed,F,0,Suburban,Single,61,17.0,1,1.0,7,Personal Auto,Personal L2,Offer1,Agent,292.8,Four-Door Car,Small,A,1
2933,IZ88103,California,12625.27947,No,Premium,Bachelor,2011-01-04,Employed,F,79421,Rural,Married,104,15.11182,85,0.386309,2,Personal Auto,Personal L2,Offer1,Agent,115.126739,Four-Door Car,Medsize,A,1
2935,XV84099,Arizona,5504.139033,Yes,Basic,Bachelor,2011-02-08,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate Auto,Corporate L1,Offer1,Call Center,350.4,Four-Door Car,Medsize,A,2
2936,XU67970,Washington,2121.647053,No,Basic,College,2011-01-27,Unemployed,M,0,Suburban,Single,62,11.0,45,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,446.4,Two-Door Car,Small,A,1
2938,QK29271,California,14084.48944,No,Extended,Bachelor,2011-02-22,Unemployed,M,0,Suburban,Single,208,22.0,92,0.0,3,Corporate Auto,Corporate L1,Offer2,Agent,2270.508697,Luxury Car,Medsize,A,2
2939,SX50964,Arizona,5224.328801,No,Basic,Bachelor,2011-01-24,Employed,F,83389,Urban,Married,65,5.0,57,0.0,3,Corporate Auto,Corporate L2,Offer2,Branch,209.25613,Two-Door Car,Small,A,1
2943,XZ40716,California,8054.982035,No,Premium,High School or Below,2011-01-18,Employed,F,75531,Suburban,Single,102,2.0,13,0.0,4,Personal Auto,Personal L3,Offer1,Web,489.6,Four-Door Car,Medsize,A,1
2945,PW51793,Oregon,7325.892726,No,Extended,Bachelor,2011-01-02,Employed,M,52920,Suburban,Divorced,93,18.0,95,0.0,3,Personal Auto,Personal L2,Offer1,Branch,1101.05432,Four-Door Car,Small,A,1
2948,GF70857,Nevada,2933.960426,No,Extended,College,2011-01-28,Unemployed,M,0,Rural,Married,83,2.0,62,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,199.851201,Four-Door Car,Medsize,A,1
2950,ZH28728,Oregon,6285.019179,No,Premium,Bachelor,2011-01-29,Unemployed,M,0,Suburban,Married,172,5.0,33,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,825.6,SUV,Medsize,A,1
2952,FN98595,Nevada,7516.831717,No,Extended,High School or Below,2011-02-20,Employed,F,31477,Rural,Married,94,22.0,77,0.0,3,Special Auto,Special L2,Offer2,Branch,146.950756,Four-Door Car,Medsize,A,2
2954,MI65698,Oregon,4590.811214,No,Premium,College,2011-02-01,Employed,F,28354,Urban,Divorced,118,33.0,20,0.0,1,Personal Auto,Personal L3,Offer2,Agent,320.327775,Two-Door Car,Large,A,2
2955,KA32645,Nevada,5770.684097,No,Extended,College,2011-02-02,Unemployed,M,0,Suburban,Single,83,21.0,67,0.0,8,Personal Auto,Personal L2,Offer1,Branch,946.345269,Four-Door Car,Medsize,A,2
2956,ZV43428,Arizona,27789.69235,Yes,Extended,Bachelor,2011-01-20,Employed,F,33806,Urban,Divorced,89,32.0,59,0.0,2,Special Auto,Special L3,Offer2,Web,395.729716,Four-Door Car,Medsize,A,1
2960,AB60627,California,15467.78904,No,Extended,High School or Below,2011-01-28,Employed,M,77517,Rural,Married,129,19.0,20,0.0,2,Corporate Auto,Corporate L2,Offer3,Branch,98.921782,SUV,Medsize,A,1
2962,JD50909,Arizona,3008.099115,No,Basic,Bachelor,2011-01-17,Employed,F,80681,Suburban,Married,74,31.0,12,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,355.2,Four-Door Car,Medsize,A,1
2965,EY13576,Oregon,7374.077921,No,Basic,College,2011-01-09,Unemployed,F,0,Suburban,Married,110,19.0,87,4.0,3,Personal Auto,Personal L2,Offer1,Web,528.0,SUV,Medsize,A,1
